"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Electrosmith_Daisy_Seed_Rev4","https://static1.squarespace.com/static/58d03fdc1b10e3bf442567b8/t/6227e6236f02fb68d1577146/1646781988478/Daisy_Seed_datasheet_v1.0.3.pdf","Module:Electrosmith_Daisy_Seed","1",""
"C1","100p","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C2,C8,C9","1u","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","3",""
"C3,C7","1n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C13","100u","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C14,C15,C16,C17","100n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","4",""
"D1","1N5817","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"FS1,FS2","~","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J_IN1,J_OUT1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"LED1,LED2","LED","~","LED_THT:LED_D5.0mm","2",""
"PWR1","Barrel_Jack","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1,R2,R3","1K","~","-- mixed values --","3",""
"R4,R5,R10,R11","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R9","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R12","100R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R13","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1,RV2,RV3,RV4,RV5,RV6","B10K","~","Potentiometer_THT:Potentiometer_3Pin_Holes","6",""
"SW1,SW2,SW3,SW4","SW_SPDT","~","Button_Switch_THT:Toggle_Switch_3Pin_Holes","4",""
"U1","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","L78L05_TO92","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
